IN09_SMSA,MSA_Codebook,MSA,IN85_HUDMED,IN87_HUDMED,IN89_HUDMED,IN91_HUDMED,IN93_HUDMED,IN95_HUDMED,IN97_HUDMED,IN99_HUDMED,IN01_HUDMED,IN03_HUDMED,IN05_HUDMED,IN07_HUDMED,IN09_HUDMED
80,"0080 Akron, OH",80,29450,31500,34800,40000,40100,41300,44300,49900,54100,60300,60700,60300,65000
160,"0160 Albany-Schenectady-Troy, NY",160,27450,29500,32800,37500,43800,43800,47000,49700,53000,59800,63450,63500,70816.67
200,"0200 Albuquerque, NM",200,26350,29700,32100,34600,37600,38300,44400,46100,49000,51400,54200,55900,59500
240,"0240 Allentown-Bethlehem-Easton, PA",240,28550,31100,33700,38600,43000,43000,45800,49400,52000,59700,60650,65800,70000
460,"0460 Appleton-Oshkosh-Neenah, WI",460,28650,31400,34600,40500,42400,43500,47600,53700,58000,61700,64300,66033.33,70300
520,"0520 Atlanta, GA",520,29650,34300,38900,44100,46500,48700,53100,59900,66500,68800,70250,67100,71700
560,"0560 Atlantic City, NJ",560,26500,28400,31200,34100,43400,43400,46300,48800,49800,56900,61700,63600,67800
600,"0600 Augusta, GA-SC",600,24000,27600,32700,35200,37300,37900,41600,45200,48000,51000,53400,52600,55500
640,"0640 Austin, TX",640,29250,33400,37200,41000,41800,43200,48600,55400,64700,66900,67300,69300,73300
680,"0680 Bakersfield, CA",680,26150,28100,31000,33300,35000,36600,37700,38700,40300,42800,46600,47800,52200
720,"0720 Baltimore, MD",720,29850,33300,37700,43500,47200,49400,54100,60600,63100,67300,72150,75800,82100
760,"0760 Baton Rouge, LA",760,28900,30100,31800,35700,37400,38700,42600,46000,49200,54900,56150,56200,59800
840,"0840 Beaumont-Port Arthur, TX",840,29450,32600,33000,36200,35600,37300,40900,43200,46800,46800,48850,50200,54300
875,"0875 Bergen-Passaic, NJ",875,34550,39100,44300,52700,58500,60400,65300,69500,74600,78800,83500,84000,91200
1000,"1000 Birmingham, AL",1000,25800,26400,29700,31900,34600,36300,41900,47900,51100,54200,56250,55500,60900
1120,"1120 Boston, MA",1120,33050,37400,45000,50200,51200,53100,59600,62700,70000,80800,82600,83260.47,91142.64
7090,"1120 Boston, MA",1120,33050,37400,45000,50200,51200,53100,59600,62700,70000,80800,82600,83260.47,91142.64
1125,"1125 Boulder-Longmont, CO",1125,33400,37600,41700,43900,50500,54200,61200,68700,81400,81900,82000,82500,89100
1160,"1160 Bridgeport-Milford, CT",1160,34200,38200,46200,52200,50200,53600,59600,63300,72000,75200,76600,78292.31,85215.38
1320,"1320 Canton, OH",1320,27500,28900,31300,34100,37000,37600,41800,46300,50300,53200,54500,53000,57700
1440,"1440 Charleston, SC",1440,24600,27600,31100,33100,35400,35600,39500,43200,46300,55900,55900,55400,60300
1560,"1560 Chattanooga, TN-GA",1560,24000,24800,27300,30300,33500,34400,39500,44500,49300,48800,52250,53400,56100
620,"1600 Chicago, IL",1600,33200,36800,41700,46900,47600,51300,55800,63800,70500,68700,69700,69800,74900
1600,"1600 Chicago, IL",1600,33200,36800,41700,46900,47600,51300,55800,63800,70500,68700,69700,69800,74900
3965,"1600 Chicago, IL",1600,33200,36800,41700,46900,47600,51300,55800,63800,70500,68700,69700,69800,74900
9991,"1600 Chicago, IL",1600,33200,36800,41700,46900,47600,51300,55800,63800,70500,68700,69700,69800,74900
